BookID,Title,Subtitle,OriginallyPublished,PublisherID,IsRead,IsReference,IsOwned,ISBN,LoaneeFirst,LoaneeLast,Dewey,Pages,Width,Height,Depth,Weight,PrimaryLanguage,SecondaryLanguage,OriginalLanguage,Series,Volume,Format,Edition,ImageURL,IsReading,IsShipping,SpineColor,CheapestNew,CheapestUsed,EditionPublished,PublisherID,Publisher,City,State,Country,ParentCompany
12914,Crocodile Tears,,2009-01-01T00:00:00Z,19348,0,0,1,9780142417195,,,FIC,400,29,198,129,14.18,English,,English,Alex Rider,7.00,Paperback,1,res/bookimages/12914.jpg,0,0,#90a830,1.81,1.09,2009-01-01T00:00:00Z,19348,Puffin Books,New York,New York,USA,
12915,Snakehead,,2007-01-01T00:00:00Z,19360,0,0,1,9780142412121,,,FIC,400,29,198,127,15.34,English,,English,Alex Rider,8.00,Paperback,1,res/bookimages/12915.jpg,0,0,#000000,2.90,0.15,2007-01-01T00:00:00Z,19360,SPEAK,New York,New York,USA,
12916,Scorpia Rising,,2011-01-01T00:00:00Z,19390,0,0,1,9780399250576,,,FIC,420,35,218,148,18.62,English,,English,Alex Rider,9.00,Hardcover,1,res/bookimages/12916.jpg,0,0,#000000,99999999.99,99999999.99,2011-01-01T00:00:00Z,19390,Philomel Books,New York,New York,USA,
12917,Russian Roulette,,2013-01-01T00:00:00Z,19348,0,0,1,9780147512314,,,FIC,416,28,197,127,13.02,English,,English,Alex Rider,10.00,Paperback,1,res/bookimages/12917.jpg,0,0,#a80018,3.79,1.85,2013-01-01T00:00:00Z,19348,Puffin Books,New York,New York,USA,
12918,The Invasion,,1996-01-01T00:00:00Z,19371,1,0,1,9780590629775,,,FIC,194,14,198,134,4.80,English,,English,Animorphs,1.00,Paperback,1,res/bookimages/12918.jpg,0,0,#78a8d8,3.47,0.01,1996-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12919,The Visitor,,1996-01-01T00:00:00Z,19371,1,0,1,9780590629782,,,FIC,194,14,198,134,4.97,English,,English,Animorphs,2.00,Paperback,1,res/bookimages/12919.jpg,0,0,#781818,1.00,0.01,1996-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12920,The Encounter,,1996-01-01T00:00:00Z,19371,1,0,1,9780590629799,,,FIC,178,13,198,134,4.59,English,,English,Animorphs,3.00,Paperback,1,res/bookimages/12920.jpg,0,0,#301830,1.86,0.01,1996-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12921,The Message,,1996-01-01T00:00:00Z,19371,1,0,1,9780590629805,,,FIC,162,12,198,134,4.23,English,,English,Animorphs,4.00,Paperback,1,res/bookimages/12921.jpg,0,0,#f0f0f0,1.38,0.01,1996-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12922,The Predator,,1996-01-01T00:00:00Z,19371,1,0,1,9780590629812,,,FIC,156,12,198,134,4.06,English,,English,Animorphs,5.00,Paperback,1,res/bookimages/12922.jpg,0,0,#181818,1.90,0.01,1996-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12923,The Capture,,1997-01-01T00:00:00Z,19371,1,0,1,9780590629829,,,FIC,178,13,198,134,5.01,English,,English,Animorphs,6.00,Paperback,1,res/bookimages/12923.jpg,0,0,#f0d848,1.95,0.01,1997-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12924,The Stranger,,1997-01-01T00:00:00Z,19371,1,0,1,9780590997263,,,FIC,178,13,198,134,4.55,English,,English,Animorphs,7.00,Paperback,1,res/bookimages/12924.jpg,0,0,#181818,99999999.99,99999999.99,1997-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12925,The Alien,,1997-01-01T00:00:00Z,19371,1,0,1,9780590997287,,,FIC,178,13,198,134,4.66,English,,English,Animorphs,8.00,Paperback,1,res/bookimages/12925.jpg,0,0,#f06030,99999999.99,99999999.99,1997-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12926,The Secret,,1997-01-01T00:00:00Z,19371,1,0,1,9780590997294,,,FIC,178,14,198,134,4.51,English,,English,Animorphs,9.00,Paperback,1,res/bookimages/12926.jpg,0,0,#303048,99999999.99,99999999.99,1997-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12927,The Android,,1997-01-01T00:00:00Z,19371,1,0,1,9780590997300,,,FIC,194,13,198,134,4.90,English,,English,Animorphs,10.00,Paperback,1,res/bookimages/12927.jpg,0,0,#181818,99999999.99,99999999.99,1997-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12928,The Forgotten,,1997-01-01T00:00:00Z,19371,1,0,1,9780590997324,,,FIC,178,13,198,134,4.62,English,,English,Animorphs,11.00,Paperback,1,res/bookimages/12928.jpg,0,0,#604830,99999999.99,99999999.99,1997-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12929,The Reaction,,1997-01-01T00:00:00Z,19371,1,0,1,9780590997348,,,FIC,178,12,198,134,4.55,English,,English,Animorphs,12.00,Paperback,1,res/bookimages/12929.jpg,0,0,#303030,99999999.99,99999999.99,1997-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12930,The Change,,1997-01-01T00:00:00Z,19371,1,0,1,9780590494182,,,FIC,178,14,198,134,4.66,English,,English,Animorphs,13.00,Paperback,1,res/bookimages/12930.jpg,0,0,#903078,99999999.99,99999999.99,1997-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12931,The Unknown,,1998-01-01T00:00:00Z,19371,1,0,1,9780590494236,,,FIC,178,14,198,134,4.66,English,,English,Animorphs,14.00,Paperback,1,res/bookimages/12931.jpg,0,0,#301818,99999999.99,99999999.99,1998-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12932,The Escape,,1998-01-01T00:00:00Z,19371,1,0,1,9780590494243,,,FIC,178,13,198,134,4.55,English,,English,Animorphs,15.00,Paperback,1,res/bookimages/12932.jpg,0,0,#183048,99999999.99,99999999.99,1998-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12933,The Warning,,1998-01-01T00:00:00Z,19371,1,0,1,9780590494304,,,FIC,162,12,198,134,4.20,English,,English,Animorphs,16.00,Paperback,1,res/bookimages/12933.jpg,0,0,#484848,99999999.99,99999999.99,1998-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12934,The Underground,,1998-01-01T00:00:00Z,19371,1,0,1,9780590494366,,,FIC,178,12,198,134,4.59,English,,English,Animorphs,17.00,Paperback,1,res/bookimages/12934.jpg,0,0,#301818,99999999.99,99999999.99,1998-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12935,The Decision,,1998-01-01T00:00:00Z,19371,1,0,1,9780590494410,,,FIC,178,14,198,134,4.69,English,,English,Animorphs,18.00,Paperback,1,res/bookimages/12935.jpg,0,0,#901830,99999999.99,99999999.99,1998-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12936,The Departure,,1998-01-01T00:00:00Z,19371,1,0,1,9780590494519,,,FIC,178,12,198,134,4.66,English,,English,Animorphs,19.00,Paperback,1,res/bookimages/12936.jpg,0,0,#181818,99999999.99,99999999.99,1998-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12937,The Discovery,,1998-01-01T00:00:00Z,19371,1,0,1,9780590496377,,,FIC,178,14,198,134,4.55,English,,English,Animorphs,20.00,Paperback,1,res/bookimages/12937.jpg,0,0,#606090,99999999.99,99999999.99,1998-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
