BookID,FirstName,MiddleNames,LastName,Role
13043,Robert,,Lee,Author
13043,James,,Smith,Author
13044,Robert,,Lee,Author
13044,James,,Smith,Author
13045,J,K,Rowling,Author
13046,J,K,Rowling,Author
13047,J,K,Rowling,Author
13048,J,K,Rowling,Author
13049,J,K,Rowling,Author
13050,J,K,Rowling,Author
13051,J,K,Rowling,Author
13052,Rick,,Riordan,Author
13053,Rick,,Riordan,Author
13054,Douglas,,Adams,Author
13055,Kenneth,O,Gangel,Author
13055,Max,,Anders,Editor
13056,Suzanne,,Collins,Author
13057,Suzanne,,Collins,Author
13058,Suzanne,,Collins,Author
13059,Cassandra,,Clare,Author
13060,Cassandra,,Clare,Author
13061,Christopher,,Paolini,Author
13062,Christopher,,Paolini,Author
13063,Christopher,,Paolini,Author
13064,Christopher,,Paolini,Author
13065,George,Arthur,Buttrick,Author
13066,George,Arthur,Buttrick,Author
13067,George,Arthur,Buttrick,Author
13068,George,Arthur,Buttrick,Author
13069,George,Arthur,Buttrick,Author
13070,George,Arthur,Buttrick,Author
13071,George,Arthur,Buttrick,Author
13072,George,Arthur,Buttrick,Author
13073,George,Arthur,Buttrick,Author
13074,George,Arthur,Buttrick,Author
13075,George,Arthur,Buttrick,Author
13076,George,Arthur,Buttrick,Author
13077,Tim,F,LaHaye,Author
13077,Jerry,B,Jenkins,Author
13078,Tim,F,LaHaye,Author
13078,Jerry,B,Jenkins,Author
13079,Tim,F,LaHaye,Author
13079,Jerry,B,Jenkins,Author
13080,Tim,F,LaHaye,Author
13080,Jerry,B,Jenkins,Author
13081,Joel,C,Rosenberg,Author
13082,Joel,C,Rosenberg,Author
13083,Joel,C,Rosenberg,Author
13084,Joel,C,Rosenberg,Author
13085,Joel,C,Rosenberg,Author
13086,Tim,F,LaHaye,Author
13086,Jerry,B,Jenkins,Author
13087,Tim,F,LaHaye,Author
13087,Jerry,B,Jenkins,Author
13088,Tim,F,LaHaye,Author
13088,Jerry,B,Jenkins,Author
13089,Tim,F,LaHaye,Author
13089,Jerry,B,Jenkins,Author
13090,Tim,F,LaHaye,Author
13090,Jerry,B,Jenkins,Author
13091,Tim,F,LaHaye,Author
13091,Jerry,B,Jenkins,Author
13092,Tim,F,LaHaye,Author
13092,Jerry,B,Jenkins,Author
13093,Tim,F,LaHaye,Author
13093,Jerry,B,Jenkins,Author
13094,Tim,F,LaHaye,Author
13094,Jerry,B,Jenkins,Author
13095,Tim,F,LaHaye,Author
13095,Jerry,B,Jenkins,Author
13096,Tim,F,LaHaye,Author
13096,Jerry,B,Jenkins,Author
13097,Tim,F,LaHaye,Author
13097,Jerry,B,Jenkins,Author
13098,Tim,F,LaHaye,Author
13098,Jerry,B,Jenkins,Author
13099,Tim,F,LaHaye,Author
13099,Jerry,B,Jenkins,Author
13100,Tim,F,LaHaye,Author
13100,Jerry,B,Jenkins,Author
13101,Tim,F,LaHaye,Author
13101,Jerry,B,Jenkins,Author
13102,Tim,F,LaHaye,Author
13102,Jerry,B,Jenkins,Author
13103,Tim,F,LaHaye,Author
13103,Jerry,B,Jenkins,Author
13104,Tim,F,LaHaye,Author
13104,Jerry,B,Jenkins,Author
13105,Tim,F,LaHaye,Author
13105,Jerry,B,Jenkins,Author
13106,Tim,F,LaHaye,Author
13106,Jerry,B,Jenkins,Author
13107,Tim,F,LaHaye,Author
13107,Jerry,B,Jenkins,Author
13108,Tim,F,LaHaye,Author
13108,Jerry,B,Jenkins,Author
13109,Tim,F,LaHaye,Author
13109,Jerry,B,Jenkins,Author
13110,Tim,F,LaHaye,Author
13110,Jerry,B,Jenkins,Author
13111,Tim,F,LaHaye,Author
13111,Jerry,B,Jenkins,Author
13112,Tim,F,LaHaye,Author
13112,Jerry,B,Jenkins,Author
13113,Tim,F,LaHaye,Author
13113,Jerry,B,Jenkins,Author
13114,Tim,F,LaHaye,Author
13114,Jerry,B,Jenkins,Author
13115,Tim,F,LaHaye,Author
13115,Jerry,B,Jenkins,Author
13116,Tim,F,LaHaye,Author
13116,Jerry,B,Jenkins,Author
13117,Tim,F,LaHaye,Author
13117,Jerry,B,Jenkins,Author
13118,Tim,F,LaHaye,Author
13118,Jerry,B,Jenkins,Author
13119,Tim,F,LaHaye,Author
13119,Jerry,B,Jenkins,Author
13120,Tim,F,LaHaye,Author
13120,Jerry,B,Jenkins,Author
13121,Tim,F,LaHaye,Author
13121,Jerry,B,Jenkins,Author
13122,Tim,F,LaHaye,Author
13122,Jerry,B,Jenkins,Author
13123,Tim,F,LaHaye,Author
13123,Jerry,B,Jenkins,Author
