log: 2020/12/24 00:10:24 testsvg.go:34: Creating the database
log: 2020/12/24 00:10:24 testsvg.go:41: Pinging the database
log: 2020/12/24 00:10:24 testsvg.go:168: (#943F2D): 86.000000 - 13332
log: 2020/12/24 00:10:24 testsvg.go:168: (#913C30): 84.000000 - 13333
log: 2020/12/24 00:10:24 testsvg.go:168: (#964134): 89.000000 - 13334
log: 2020/12/24 00:10:24 testsvg.go:168: (#9B3F31): 89.000000 - 13335
log: 2020/12/24 00:10:24 testsvg.go:168: (#BC5F48): 120.000000 - 13336
log: 2020/12/24 00:10:24 testsvg.go:168: (#A84C33): 101.000000 - 13337
log: 2020/12/24 00:10:24 testsvg.go:168: (#924128): 86.000000 - 13338
log: 2020/12/24 00:10:24 testsvg.go:168: (#AB4730): 98.000000 - 13339
log: 2020/12/24 00:10:24 testsvg.go:168: (#2D3B62): 59.000000 - 21936
log: 2020/12/24 00:10:24 testsvg.go:168: (#D4CEB4): 205.000000 - 16748
log: 2020/12/24 00:10:24 testsvg.go:168: (#E8E7DE): 230.000000 - 22249
log: 2020/12/24 00:10:24 testsvg.go:168: (#E5E5DE): 228.000000 - 22070
log: 2020/12/24 00:10:24 testsvg.go:168: (#9F2325): 72.000000 - 22073
log: 2020/12/24 00:10:24 testsvg.go:168: (#EAE8E5): 232.000000 - 22248
log: 2020/12/24 00:10:24 testsvg.go:168: (#B3A38B): 165.000000 - 22069
log: 2020/12/24 00:10:24 testsvg.go:168: (#F3F1DA): 239.000000 - 22216
log: 2020/12/24 00:10:24 testsvg.go:168: (#EAEAE4): 233.000000 - 22251
log: 2020/12/24 00:10:24 testsvg.go:168: (#EEEBE2): 235.000000 - 22071
log: 2020/12/24 00:10:24 testsvg.go:168: (#D6C7B3): 201.000000 - 22250
log: 2020/12/24 00:10:24 testsvg.go:168: (#EBEEE2): 236.000000 - 22068
log: 2020/12/24 00:10:24 testsvg.go:168: (#887E8F): 131.000000 - 21081
log: 2020/12/24 00:10:24 testsvg.go:168: (#CBB499): 184.000000 - 21805
log: 2020/12/24 00:10:24 testsvg.go:168: (#CAB195): 181.000000 - 21077
log: 2020/12/24 00:10:24 testsvg.go:168: (#A48C71): 144.000000 - 21080
log: 2020/12/24 00:10:24 testsvg.go:168: (#D2B885): 186.000000 - 21078
log: 2020/12/24 00:10:24 testsvg.go:168: (#CBB69E): 186.000000 - 21807
log: 2020/12/24 00:10:24 testsvg.go:168: (#CAB49D): 184.000000 - 21808
log: 2020/12/24 00:10:24 testsvg.go:168: (#A7A8A5): 167.000000 - 21494
log: 2020/12/24 00:10:24 testsvg.go:168: (#126B89): 84.000000 - 21176
log: 2020/12/24 00:10:24 testsvg.go:168: (#943F24): 85.000000 - 21171
log: 2020/12/24 00:10:24 testsvg.go:168: (#715C5A): 98.000000 - 21172
log: 2020/12/24 00:10:24 testsvg.go:168: (#388500): 95.000000 - 20293
log: 2020/12/24 00:10:24 testsvg.go:168: (#99EDEA): 212.000000 - 22297
log: 2020/12/24 00:10:24 testsvg.go:168: (#F7E090): 222.000000 - 16362
log: 2020/12/24 00:10:24 testsvg.go:168: (#473B2E): 61.000000 - 21181
log: 2020/12/24 00:10:24 testsvg.go:168: (#3F3B44): 61.000000 - 21341
log: 2020/12/24 00:10:24 testsvg.go:168: (#413530): 56.000000 - 16720
log: 2020/12/24 00:10:24 testsvg.go:168: (#F5F9F1): 247.000000 - 19090
log: 2020/12/24 00:10:24 testsvg.go:168: (#DCCAA5): 203.000000 - 19091
log: 2020/12/24 00:10:24 testsvg.go:168: (#43F200): 162.000000 - 13610
log: 2020/12/24 00:10:24 testsvg.go:168: (#525F55): 90.000000 - 16381
log: 2020/12/24 00:10:24 testsvg.go:168: (#8E7AA4): 133.000000 - 22138
log: 2020/12/24 00:10:24 testsvg.go:168: (#2D231C): 37.000000 - 19092
log: 2020/12/24 00:10:24 testsvg.go:168: (#C79989): 165.000000 - 21472
log: 2020/12/24 00:10:24 testsvg.go:168: (#D0D2D7): 210.000000 - 19093
log: 2020/12/24 00:10:24 testsvg.go:168: (#373B3A): 58.000000 - 16329
log: 2020/12/24 00:10:24 testsvg.go:168: (#98D000): 168.000000 - 14244
log: 2020/12/24 00:10:24 testsvg.go:168: (#5D7E82): 117.000000 - 13459
log: 2020/12/24 00:10:24 testsvg.go:168: (#12302F): 39.000000 - 20515
log: 2020/12/24 00:10:24 testsvg.go:168: (#2B2725): 40.000000 - 13373
log: 2020/12/24 00:10:24 testsvg.go:168: (#542370): 58.000000 - 14225
log: 2020/12/24 00:10:24 testsvg.go:168: (#818888): 134.000000 - 13632
log: 2020/12/24 00:10:24 testsvg.go:168: (#484D7A): 81.000000 - 21318
log: 2020/12/24 00:10:24 testsvg.go:168: (#CB6318): 122.000000 - 22139
log: 2020/12/24 00:10:24 testsvg.go:168: (#DAEDA0): 223.000000 - 13633
log: 2020/12/24 00:10:24 testsvg.go:168: (#AFC4DA): 192.000000 - 16339
log: 2020/12/24 00:10:24 testsvg.go:168: (#D4C09C): 194.000000 - 13784
log: 2020/12/24 00:10:24 testsvg.go:168: (#D6433D): 110.000000 - 22141
log: 2020/12/24 00:10:24 testsvg.go:168: (#EBDCBE): 221.000000 - 16468
log: 2020/12/24 00:10:24 testsvg.go:168: (#F0DBB2): 221.000000 - 21414
log: 2020/12/24 00:10:24 testsvg.go:168: (#DC3456): 106.000000 - 20798
log: 2020/12/24 00:10:24 testsvg.go:168: (#D6D6D6): 214.000000 - 22080
log: 2020/12/24 00:10:24 testsvg.go:168: (#DAB3AB): 190.000000 - 16327
log: 2020/12/24 00:10:24 testsvg.go:168: (#7F1D1B): 58.000000 - 20738
log: 2020/12/24 00:10:24 testsvg.go:168: (#DB6F34): 137.000000 - 22081
log: 2020/12/24 00:10:24 testsvg.go:168: (#FAF9F1): 248.000000 - 16356
log: 2020/12/24 00:10:24 testsvg.go:168: (#93D5A0): 187.000000 - 13575
log: 2020/12/24 00:10:24 testsvg.go:168: (#B9B89C): 181.000000 - 14192
log: 2020/12/24 00:10:24 testsvg.go:168: (#FAF533): 224.000000 - 16496
log: 2020/12/24 00:10:24 testsvg.go:168: (#22C000): 123.000000 - 22131
log: 2020/12/24 00:10:24 testsvg.go:168: (#E5ECC5): 229.000000 - 16346
log: 2020/12/24 00:10:24 testsvg.go:168: (#4A77B2): 112.000000 - 16756
log: 2020/12/24 00:10:24 testsvg.go:168: (#E3CC9D): 206.000000 - 14226
log: 2020/12/24 00:10:24 testsvg.go:168: (#B16330): 117.000000 - 20529
log: 2020/12/24 00:10:24 testsvg.go:168: (#CDBCAE): 191.000000 - 20523
log: 2020/12/24 00:10:24 testsvg.go:168: (#F171E0): 164.000000 - 20233
log: 2020/12/24 00:10:24 testsvg.go:168: (#C0C9CD): 199.000000 - 16357
